markerId,markerType,latitude,longitude,complexName,realEstateTypeCode,realEstateTypeName,completionYearMonth,totalDongCount,totalHouseholdCount,floorAreaRatio,minArea,maxArea,representativeArea,etRoomCnt,minMviFee,maxMviFee,sameAddrCnt,priceCount,isPresales,photoCount,dealCount,leaseCount,rentCount,shortTermRentCount,totalArticleCount,existPriceTab,isComplexTourExist,매매가,보증금,월세,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매유형,지하철역명,지하철_거리_미터,지하철_도보_분,초등학교,중학교,고등학교,구,동,매물유형,수집시간
164661,COMPLEX,37.507647,127.115293,송파포트힐한샘인사이드1,APT,아파트,202304,1,24,199,59.09,69.07,59,0,0,0,0,1,FALSE,0,5,0,0,0,5,TRUE,FALSE,0,0,0,80000,86000,0,0,0,0,매매,송파나루역9호선,440,6,"서울송파초등학교, 서울방산초등학교, 서울방이초등학교","방산중학교, 가락중학교, 잠실여자중학교","방산고등학교, 잠실여자고등학교, 일신여자상업고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
102194,COMPLEX,37.508203,127.114488,경일,APT,아파트,200404,1,16,271,69.47,130.24,69.47,0,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,,송파나루역9호선,351,5,"서울송파초등학교, 서울방산초등학교, 서울방이초등학교","방산중학교, 방이중학교, 가락중학교","방산고등학교, 잠실여자고등학교, 일신여자상업고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
18156,COMPLEX,37.507299,127.118955,인텍스파크텔,OPST,오피스텔,200208,1,37,268,28.6,28.6,28,0,0,0,0,3,FALSE,0,1,1,9,0,11,TRUE,FALSE,0,0,0,9800,9800,9000,9000,10,50,"매매, 전세, 월세",방이역5호선,650,9,"서울방산초등학교, 서울송파초등학교, 서울방이초등학교","방산중학교, 가락중학교, 석촌중학교","방산고등학교, 가락고등학교, 일신여자상업고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
143078,COMPLEX,37.511629,127.118382,트리니엘,APT,아파트,202107,1,42,199,47.69,59.22,58,0,0,0,0,1,FALSE,0,13,0,0,0,13,TRUE,FALSE,0,0,0,44000,69000,0,0,0,0,매매,송파나루역9호선,509,7,"서울방이초등학교, 서울방산초등학교, 서울송파초등학교","방산중학교, 방이중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
21921,COMPLEX,37.514979,127.114521,효성올림픽카운티,OPST,오피스텔,200309,1,30,962,59.74,87.86,59,0,0,0,0,1,FALSE,0,6,0,0,0,6,TRUE,FALSE,0,0,0,35000,50000,0,0,0,0,매매,한성백제역9호선,242,3,"서울방이초등학교, 서울잠실초등학교, 서울방산초등학교","방이중학교, 방산중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
161685,COMPLEX,37.510065,127.116101,진흥펠리체(도시형),APT,아파트,201510,1,20,198,21.66,34.91,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,송파나루역9호선,321,4,"서울방산초등학교, 서울송파초등학교, 서울방이초등학교","방산중학교, 방이중학교, 가락중학교","방산고등학교, 잠실여자고등학교, 일신여자상업고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
156871,COMPLEX,37.513184,127.118038,"강남캐슬(민간임대,도시형)",APT,아파트,202301,1,20,195,29.77,36.39,36.12,0,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,한성백제역9호선,398,5,"서울방이초등학교, 서울방산초등학교, 서울송파초등학교","방이중학교, 방산중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
3546,COMPLEX,37.512994,127.123965,올림픽타워,APT,아파트,199806,1,12,399,187.36,244.22,244.22,0,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,,방이역5호선,507,7,"서울방이초등학교, 서울방산초등학교, 서울오금초등학교","방산중학교, 세륜중학교, 오금중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
104699,COMPLEX,37.509797,127.115623,광명,APT,아파트,200703,1,12,199,65.76,65.76,65,0,0,0,0,1,FALSE,0,3,0,0,0,3,TRUE,FALSE,0,0,0,67000,67000,0,0,0,0,매매,송파나루역9호선,294,4,"서울송파초등학교, 서울방산초등학교, 서울방이초등학교","방산중학교, 방이중학교, 가락중학교","방산고등학교, 잠실여자고등학교, 일신여자상업고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
115546,COMPLEX,37.50882,127.117617,서울탑빌라트,APT,아파트,199002,1,15,144,55.75,113.92,113.92,0,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,,송파나루역9호선,500,7,"서울방산초등학교, 서울방이초등학교, 서울송파초등학교","방산중학교, 가락중학교, 방이중학교","방산고등학교, 가락고등학교, 잠실여자고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
182538,COMPLEX,37.512848,127.115337,GB블루씨엘(도시형),APT,아파트,202303,1,15,196,77.43,77.43,77,0,0,0,0,1,FALSE,0,1,0,0,0,1,FALSE,FALSE,0,0,0,75000,75000,0,0,0,0,매매,송파나루역9호선,311,4,"서울방이초등학교, 서울방산초등학교, 서울송파초등학교","방이중학교, 방산중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
3554,COMPLEX,37.511398,127.12482,현대파크빌라트,APT,아파트,199705,1,19,274,245.95,330.62,245.95,0,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,,방이역5호선,315,4,"서울방산초등학교, 서울방이초등학교, 서울오금초등학교","방산중학교, 세륜중학교, 오금중학교","방산고등학교, 오금고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
107520,COMPLEX,37.507505,127.111601,온누리,APT,아파트,200410,1,17,295,61.01,61.01,61,0,0,0,0,1,FALSE,0,3,0,0,0,3,TRUE,FALSE,0,0,0,68000,68000,0,0,0,0,매매,송파나루역9호선,401,5,"서울송파초등학교, 서울석촌초등학교, 서울중대초등학교","잠실여자중학교, 방이중학교, 가락중학교","잠실여자고등학교, 일신여자상업고등학교, 방산고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
