단지명,단지코드,세대수,동수,준공년월,최소전용,최대전용,용적률,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매_거래건수,전세_거래건수,월세_거래건수,총_거래건수,전세가율,갭,평당매매가,면적요약,매매_최저가_억원,매매_최고가_억원,전세_최저가_억원,전세_최고가_억원,월세_최저가_억원,월세_최고가_억원,갭_억원,평당매매가_억원,단지요약,구,동,수집시간,단지명_정제,기본주소,상세주소,원본주소,위도,경도,변환방법,사용된주소
우찬현대(103),102379,10,1,200606,71.89,152.26,239,0,0,0,0,0,0,0,0,0,0,0.0,0,0,22~46평,,,,,,,,,총 10세대 | 1개동 | 22~46평 | 2006년 준공,강남구,개포동,2025-09-12 01:52,우찬현대,서울 강남구 개포동,서울 강남구 개포동 우찬현대,서울 강남구 개포동 우찬현대(103),37.479366506016376,127.04889554677115,정제된 키워드 검색,서울 강남구 개포동 우찬현대
에버그린(주상복합),124917,9,1,200303,74.08,74.08,311,0,0,48000,48000,0,0,0,1,0,1,0.0,0,0,22평,,,"4억 8,000만","4억 8,000만",,,,,총 9세대 | 1개동 | 22평 | 2003년 준공,강남구,개포동,2025-09-12 01:52,에버그린,서울 강남구 개포동,서울 강남구 개포동 에버그린,서울 강남구 개포동 에버그린(주상복합),37.4885845606663,127.051402715855,정제된 키워드 검색,서울 강남구 개포동 에버그린
로덴하우스이스트빌리지,101878,33,1,200910,280.33,287.45,249,0,0,0,0,0,0,0,0,0,0,0.0,0,0,85~87평,,,,,,,,,총 33세대 | 1개동 | 85~87평 | 2009년 준공,강남구,개포동,2025-09-12 01:52,로덴하우스이스트,서울 강남구 개포동,서울 강남구 개포동 로덴하우스이스트,서울 강남구 개포동 로덴하우스이스트빌리지,37.4856455300344,127.04693451733829,원본 키워드 검색,서울 강남구 개포동 로덴하우스이스트빌리지
타워팰리스1차(주상복합),3038,1292,4,200210,112.71,403.76,919,339000,1200000,180000,600000,320,2000,196,34,61,291,53.1,159000,9943,34~122평,"33억 9,000만",120억,18억,60억,320만,"2,000만","15억 9,000만","9,943만","총 1,292세대 | 4개동 | 34~122평 | 2002년 준공",강남구,개포동,2025-09-12 01:52,타워팰리스1차,서울 강남구 개포동,서울 강남구 개포동 타워팰리스1차,서울 강남구 개포동 타워팰리스1차(주상복합),37.

,127.05347949415899,원본 키워드 검색,서울 강남구 개포동 타워팰리스1차(주상복합)
"한보미도맨션1,2차",105,2436,21,198311,113.31,220.92,179,420000,750000,89500,210000,25,400,170,191,131,492,21.3,330500,12253,34~67평,42억,75억,"8억 9,500만",21억,25만,400만,33억 500만,"1억 2,253만","총 2,436세대 | 21개동 | 34~67평 | 1983년 준공",강남구,개포동,2025-09-12 01:52,"한보미도맨션1,2차",서울 강남구 개포동,"서울 강남구 개포동 한보미도맨션1,2차","서울 강남구 개포동 한보미도맨션1,2차",37.4933933298452,127.067352502571,원본 키워드 검색,"서울 강남구 개포동 한보미도맨션1,2차"
삼성,3049,231,4,199412,81.09,104.02,139,290000,350000,63000,86000,40,330,13,12,9,34,21.7,227000,11822,25~31평,29억,35억,"6억 3,000만","8억 6,000만",40만,330만,"22억 7,000만","1억 1,822만",총 231세대 | 4개동 | 25~31평 | 1994년 준공,강남구,개포동,2025-09-12 01:52,삼성,서울 강남구 개포동,서울 강남구 개포동 삼성,서울 강남구 개포동 삼성,37.4828271843908,127.060754794145,원본 키워드 검색,서울 강남구 개포동 삼성
울트라멤버스,13077,19,1,200312,153.31,153.31,296,0,0,140000,140000,440,440,0,7,1,8,0.0,0,0,46평,,,14억,14억,440만,440만,,,총 19세대 | 1개동 | 46평 | 2003년 준공,강남구,개포동,2025-09-12 01:52,울트라멤버스,서울 강남구 개포동,서울 강남구 개포동 울트라멤버스,서울 강남구 개포동 울트라멤버스,37.487717913577576,127.04677073005858,원본 키워드 검색,서울 강남구 개포동 울트라멤버스
도곡렉슬,11698,3002,34,200601,86.43,225.29,274,290000,650000,96500,260000,60,760,280,168,276,724,33.3,193500,11092,26~68평,29억,65억,"9억 6,500만",26억,60만,760만,"19억 3,500만","1억 1,092만","총 3,002세대 | 34개동 | 26~68평 | 2006년 준공",강남구,개포동,2025-09-12 01:52,도곡렉슬,서울 강남구 개포동,서울 강남구 개포동 도곡렉슬,서울 강남구 개포동 도곡렉슬,37.49377988299789,127.05114053767764,원본 키워드 검색,서울 강남구 개포동 도곡렉슬
아카데미스위트(주상복합),9218,414,1,200411,112.2,332.64,996,200000,650000,154500,220000,160,650,46,27,11,84,77.2,45500,5893,34~101평,20억,65억,"15억 4,500만",22억,160만,650만,"4억 5,500만","5,893만",총 414세대 | 1개동 | 34~101평 | 2004년 준공,강남구,개포동,2025-09-12 01:52,아카데미스위트,서울 강남구 개포동,서울 강남구 개포동 아카데미스위트,서울 강남구 개포동 아카데미스위트(주상복합),37.4886743543227,127.05210382708984,정제된 키워드 검색,서울 강남구 개포동 아카데미스위트
디에이치퍼스티어아이파크,134062,6702,74,202311,50.73,230.47,249,150000,1200000,65500,600000,40,1050,178,561,760,1499,43.7,84500,9775,15~70평,15억,120억,"6억 5,500만",60억,40만,"1,050만","8억 4,500만","9,775만","총 6,702세대 | 74개동 | 15~70평 | 2023년 준공",강남구,개포동,2025-09-12 01:52,디에이치퍼스티어아이,서울 강남구 개포동,서울 강남구 개포동 디에이치퍼스티어아이,서울 강남구 개포동 디에이치퍼스티어아이파크,37.48178943055999,127.05671085125567,원본 키워드 검색,서울 강남구 개포동 디에이치퍼스티어아이파크
현대3차,1327,198,5,198603,105.86,193.76,147,399000,440000,90000,180000,60,250,42,8,12,62,22.6,309000,12460,32~59평,"39억 9,000만",44억,9억,18억,60만,250만,"30억 9,000만","1억 2,460만",총 198세대 | 5개동 | 32~59평 | 1986년 준공,강남구,개포동,2025-09-12 01:52,현대3차,서울 강남구 개포동,서울 강남구 개포동 현대3차,서울 강남구 개포동 현대3차,37.48800349249797,127.06072393382408,원본 키워드 검색,서울 강남구 개포동 현대3차
현대비젼21(주상복합),8331,232,1,199911,50.9,55.31,990,41000,65000,31000,50000,70,120,30,16,6,52,75.6,10000,2663,15~17평,"4억 1,000만","6억 5,000만","3억 1,000만",5억,70만,120만,1억,"2,663만",총 232세대 | 1개동 | 15~17평 | 1999년 준공,강남구,개포동,2025-09-12 01:52,현대비젼21,서울 강남구 개포동,서울 강남구 개포동 현대비젼21,서울 강남구 개포동 현대비젼21(주상복합),37.487361927760396,127.05132272872655,원본 키워드 검색,서울 강남구 개포동 현대비젼21(주상복합)
우찬현대(101),102377,15,1,200606,65.21,156.31,242,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20~47평,,,,,,,,,총 15세대 | 1개동 | 20~47평 | 2006년 준공,강남구,개포동,2025-09-12 01:52,우찬현대,서울 강남구 개포동,서울 강남구 개포동 우찬현대,서울 강남구 개포동 우찬현대(101),37.479366506016376,127.04889554677115,정제된 키워드 검색,서울 강남구 개포동 우찬현대
우성리빙텔(주상복합),9120,39,1,199609,168.0,169.35,853,190000,200000,0,0,400,440,2,0,4,6,0.0,0,3739,51평,19억,20억,,,400만,440만,,"3,739만",총 39세대 | 1개동 | 51평 | 1996년 준공,강남구,개포동,2025-09-12 01:52,우성리빙텔,서울 강남구 개포동,서울 강남구 개포동 우성리빙텔,서울 강남구 개포동 우성리빙텔(주상복합),37.48844529607433,127.05256047963475,원본 키워드 검색,서울 강남구 개포동 우성리빙텔(주상복합)
개포현대(200동),103385,72,1,198607,101.55,101.55,157,270000,275000,80000,85000,120,280,2,21,39,62,29.6,190000,8789,31평,27억,"27억 5,000만",8억,"8억 5,000만",120만,280만,19억,"8,789만",총 72세대 | 1개동 | 31평 | 1986년 준공,강남구,개포동,2025-09-12 01:52,개포현대,서울 강남구 개포동,서울 강남구 개포동 개포현대,서울 강남구 개포동 개포현대(200동),37.48164717487638,127.05259076658113,원본 키워드 검색,서울 강남구 개포동 개포현대(200동)
대치푸르지오발라드(도시형),166660,78,1,202401,61.21,77.19,199,0,0,75000,95000,0,0,0,5,0,5,0.0,0,0,19~23평,,,"7억 5,000만","9억 5,000만",,,,,총 78세대 | 1개동 | 19~23평 | 2024년 준공,강남구,개포동,2025-09-12 01:52,대치푸르지오발라드,서울 강남구 개포동,서울 강남구 개포동 대치푸르지오발라드,서울 강남구 개포동 대치푸르지오발라드(도시형),37.4873313751686,127.060656678189,정제된 키워드 검색,서울 강남구 개포동 대치푸르지오발라드
개포우성4차,276,459,8,198512,113.23,180.25,149,380000,520000,110000,110000,135,460,16,1,5,22,28.9,270000,11094,34~55평,38억,52억,11억,11억,135만,460만,27억,"1억 1,094만",총 459세대 | 8개동 | 34~55평 | 1985년 준공,강남구,개포동,2025-09-12 01:52,개포우성4차,서울 강남구 개포동,서울 강남구 개포동 개포우성4차,서울 강남구 개포동 개포우성4차,37.4854426681306,127.04947389017202,원본 키워드 검색,서울 강남구 개포동 개포우성4차
우성8차,818,261,3,198709,98.87,109.35,192,290000,400000,85000,100000,150,300,2,12,15,29,29.3,205000,9696,30~33평,29억,40억,"8억 5,000만",10억,150만,300만,"20억 5,000만","9,696만",총 261세대 | 3개동 | 30~33평 | 1987년 준공,강남구,개포동,2025-09-12 01:52,우성8차,서울 강남구 개포동,서울 강남구 개포동 우성8차,서울 강남구 개포동 우성8차,37.48818282679128,127.0623884956998,원본 키워드 검색,서울 강남구 개포동 우성8차
대림아크로빌(주상복합),974,490,2,199911,78.8,230.18,936,150000,500000,160000,270000,280,900,55,52,22,129,106.7,-10000,6293,24~70평,15억,50억,16억,27억,280만,900만,,"6,293만",총 490세대 | 2개동 | 24~70평 | 1999년 준공,강남구,개포동,2025-09-12 01:52,대림아크로빌,서울 강남구 개포동,서울 강남구 개포동 대림아크로빌,서울 강남구 개포동 대림아크로빌(주상복합),37.4885701504488,127.051389137295,원본 키워드 검색,서울 강남구 개포동 대림아크로빌(주상복합)
개포래미안포레스트,119219,2296,31,202009,74.31,174.19,249,245000,620000,94000,220000,40,680,459,386,581,1426,38.4,151000,10899,22~53평,"24억 5,000만",62억,"9억 4,000만",22억,40만,680만,"15억 1,000만",1억 899만,"총 2,296세대 | 31개동 | 22~53평 | 2020년 준공",강남구,개포동,2025-09-12 01:52,개포래미안포레스트,서울 강남구 개포동,서울 강남구 개포동 개포래미안포레스트,서울 강남구 개포동 개포래미안포레스트,37.47844335279694,127.05421654374456,원본 키워드 검색,서울 강남구 개포동 개포래미안포레스트
"개포우성1,2차",65,1140,14,198312,101.09,214.88,179,450000,750000,109500,250000,40,900,86,225,77,388,24.3,340500,14716,31~65평,45억,75억,"10억 9,500만",25억,40만,900만,34억 500만,"1억 4,716만","총 1,140세대 | 14개동 | 31~65평 | 1983년 준공",강남구,개포동,2025-09-12 01:52,"개포우성1,2차",서울 강남구 개포동,"서울 강남구 개포동 개포우성1,2차","서울 강남구 개포동 개포우성1,2차",37.4819251305593,127.057440206035,기본 주소,서울 강남구 개포동
도곡삼성래미안,3040,732,10,200112,81.35,158.1,291,280000,430000,125000,170000,300,340,27,10,7,44,44.6,155000,11378,25~48평,28억,43억,"12억 5,000만",17억,300만,340만,"15억 5,000만","1억 1,378만",총 732세대 | 10개동 | 25~48평 | 2001년 준공,강남구,개포동,2025-09-12 01:52,도곡삼성래미안,서울 강남구 개포동,서울 강남구 개포동 도곡삼성래미안,서울 강남구 개포동 도곡삼성래미안,37.4897778187728,127.05065272084698,원본 키워드 검색,서울 강남구 개포동 도곡삼성래미안
현대벨라하우스,16246,8,1,199612,256.24,272.1,212,0,0,0,0,0,0,0,0,0,0,0.0,0,0,78~82평,,,,,,,,,총 8세대 | 1개동 | 78~82평 | 1996년 준공,강남구,개포동,2025-09-12 01:52,현대벨라,서울 강남구 개포동,서울 강남구 개포동 현대벨라,서울 강남구 개포동 현대벨라하우스,37.48854002752553,127.04576263740071,원본 키워드 검색,서울 강남구 개포동 현대벨라하우스
삼호,342,144,2,198401,137.85,137.85,169,0,0,0,0,0,0,0,0,0,0,0.0,0,0,42평,,,,,,,,,총 144세대 | 2개동 | 42평 | 1984년 준공,강남구,개포동,2025-09-12 01:52,삼호,서울 강남구 개포동,서울 강남구 개포동 삼호,서울 강남구 개포동 삼호,37.480019117084,127.048213092673,원본 키워드 검색,서울 강남구 개포동 삼호
현대2차,1321,558,13,198601,106.67,195.17,156,325000,450000,84000,110000,40,200,101,46,16,163,25.8,241000,10072,32~59평,"32억 5,000만",45억,"8억 4,000만",11억,40만,200만,"24억 1,000만",1억 72만,총 558세대 | 13개동 | 32~59평 | 1986년 준공,강남구,개포동,2025-09-12 01:52,현대2차,서울 강남구 개포동,서울 강남구 개포동 현대2차,서울 강남구 개포동 현대2차,37.48247578946568,127.05125380978983,원본 키워드 검색,서울 강남구 개포동 현대2차
개포더샵트리에,881,232,2,202112,132.23,135.57,355,299000,370000,144000,170000,80,330,49,54,17,120,48.2,155000,7475,40~41평,"29억 9,000만",37억,"14억 4,000만",17억,80만,330만,"15억 5,000만","7,475만",총 232세대 | 2개동 | 40~41평 | 2021년 준공,강남구,개포동,2025-09-12 01:52,개포더샵트리에,서울 강남구 개포동,서울 강남구 개포동 개포더샵트리에,서울 강남구 개포동 개포더샵트리에,37.4848300737937,127.057251347174,원본 키워드 검색,서울 강남구 개포동 개포더샵트리에
청암빌라트,3047,18,1,199111,179.57,179.57,242,350000,550000,150000,150000,300,350,2,3,6,11,42.9,200000,6443,54평,35억,55억,15억,15억,300만,350만,20억,"6,443만",총 18세대 | 1개동 | 54평 | 1991년 준공,강남구,개포동,2025-09-12 01:52,청암빌라트,서울 강남구 개포동,서울 강남구 개포동 청암빌라트,서울 강남구 개포동 청암빌라트,37.49244903135108,127.057176876562,원본 키워드 검색,서울 강남구 개포동 청암빌라트
개포한신,304,620,8,198512,73.66,103.93,145,300000,380000,40000,60000,80,240,39,7,11,57,13.3,260000,13464,22~31평,30억,38억,4억,6억,80만,240만,26억,"1억 3,464만",총 620세대 | 8개동 | 22~31평 | 1985년 준공,강남구,개포동,2025-09-12 01:52,개포한신,서울 강남구 개포동,서울 강남구 개포동 개포한신,서울 강남구 개포동 개포한신,37.48688812581616,127.04889592578667,원본 키워드 검색,서울 강남구 개포동 개포한신
디에이치아너힐즈,113151,1320,23,201908,67.54,176.63,249,310000,700000,100000,230000,80,1080,104,146,251,501,32.3,210000,15173,20~53평,31억,70억,10억,23억,80만,"1,080만",21억,"1억 5,173만","총 1,320세대 | 23개동 | 20~53평 | 2019년 준공",강남구,개포동,2025-09-12 01:52,디에이치아너힐즈,서울 강남구 개포동,서울 강남구 개포동 디에이치아너힐즈,서울 강남구 개포동 디에이치아너힐즈,37.48411292129347,127.06740409560908,원본 키워드 검색,서울 강남구 개포동 디에이치아너힐즈
우성3차,667,405,5,198412,110.6,182.45,179,310000,450000,85000,125000,180,300,88,4,52,144,27.4,225000,9266,33~55평,31억,45억,"8억 5,000만","12억 5,000만",180만,300만,"22억 5,000만","9,266만",총 405세대 | 5개동 | 33~55평 | 1984년 준공,강남구,개포동,2025-09-12 01:52,우성3차,서울 강남구 개포동,서울 강남구 개포동 우성3차,서울 강남구 개포동 우성3차,37.48397290754922,127.05601262647977,원본 키워드 검색,서울 강남구 개포동 우성3차
동부센트레빌,8710,805,7,200501,152.54,202.99,297,550000,670000,270000,350000,400,1320,57,46,23,126,49.1,280000,11919,46~61평,55억,67억,27억,35억,400만,"1,320만",28억,"1억 1,919만",총 805세대 | 7개동 | 46~61평 | 2005년 준공,강남구,개포동,2025-09-12 01:52,동부센트레빌,서울 강남구 개포동,서울 강남구 개포동 동부센트레빌,서울 강남구 개포동 동부센트레빌,37.49279568772742,127.05577609518149,원본 키워드 검색,서울 강남구 개포동 동부센트레빌
개포현대2차(220동),10329,54,1,198809,98.54,98.54,185,235000,240000,85000,85000,270,270,12,3,1,16,36.2,150000,7884,30평,"23억 5,000만",24억,"8억 5,000만","8억 5,000만",270만,270만,15억,"7,884만",총 54세대 | 1개동 | 30평 | 1988년 준공,강남구,개포동,2025-09-12 01:52,개포현대2차,서울 강남구 개포동,서울 강남구 개포동 개포현대2차,서울 강남구 개포동 개포현대2차(220동),37.48135330120523,127.05291504711899,원본 키워드 검색,서울 강남구 개포동 개포현대2차(220동)
대치아이파크,19418,768,11,200806,78.71,179.41,274,320000,550000,119500,270000,70,800,115,192,183,490,37.3,200500,13440,24~54평,32억,55억,"11억 9,500만",27억,70만,800만,20억 500만,"1억 3,440만",총 768세대 | 11개동 | 24~54평 | 2008년 준공,강남구,개포동,2025-09-12 01:52,대치아이,서울 강남구 개포동,서울 강남구 개포동 대치아이,서울 강남구 개포동 대치아이파크,37.49500191860841,127.0545643652613,원본 키워드 검색,서울 강남구 개포동 대치아이파크
YH빌리지,146479,16,1,201709,33.02,36.32,297,0,0,0,0,0,0,0,0,0,0,0.0,0,0,10~11평,,,,,,,,,총 16세대 | 1개동 | 10~11평 | 2017년 준공,강남구,개포동,2025-09-12 01:52,YH,서울 강남구 개포동,서울 강남구 개포동 YH,서울 강남구 개포동 YH빌리지,37.47823934246294,127.04666985432742,원본 키워드 검색,서울 강남구 개포동 YH빌리지
그루(주상복합),127927,20,1,201908,16.12,39.97,359,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5~12평,,,,,,,,,총 20세대 | 1개동 | 5~12평 | 2019년 준공,강남구,개포동,2025-09-12 01:52,그루,서울 강남구 개포동,서울 강남구 개포동 그루,서울 강남구 개포동 그루(주상복합),37.4841471197322,127.044697140189,정제된 키워드 검색,서울 강남구 개포동 그루
포스코트,3311,64,1,200201,247.26,256.17,295,410000,450000,0,0,0,0,21,0,0,21,0.0,0,5482,75~77평,41억,45억,,,,,,"5,482만",총 64세대 | 1개동 | 75~77평 | 2002년 준공,강남구,개포동,2025-09-12 01:52,포스코트,서울 강남구 개포동,서울 강남구 개포동 포스코트,서울 강남구 개포동 포스코트,37.48790859118363,127.04761210001328,원본 키워드 검색,서울 강남구 개포동 포스코트
개포현대5차,8967,18,1,199402,148.38,148.38,167,260000,260000,0,0,0,0,3,0,0,3,0.0,0,5793,45평,26억,26억,,,,,,"5,793만",총 18세대 | 1개동 | 45평 | 1994년 준공,강남구,개포동,2025-09-12 01:52,개포현대5차,서울 강남구 개포동,서울 강남구 개포동 개포현대5차,서울 강남구 개포동 개포현대5차,37.48432406437329,127.06015901789452,원본 키워드 검색,서울 강남구 개포동 개포현대5차
개포럭키,271,128,2,198610,102.41,102.41,187,330000,380000,0,0,0,0,2,0,0,2,0.0,0,10652,31평,33억,38억,,,,,,1억 652만,총 128세대 | 2개동 | 31평 | 1986년 준공,강남구,개포동,2025-09-12 01:52,개포럭키,서울 강남구 개포동,서울 강남구 개포동 개포럭키,서울 강남구 개포동 개포럭키,37.4861683742464,127.04627678425014,원본 키워드 검색,서울 강남구 개포동 개포럭키
개포우성5차,294,180,4,198610,98.96,98.96,179,295000,300000,0,0,0,0,4,0,0,4,0.0,0,9855,30평,"29억 5,000만",30억,,,,,,"9,855만",총 180세대 | 4개동 | 30평 | 1986년 준공,강남구,개포동,2025-09-12 01:52,개포우성5차,서울 강남구 개포동,서울 강남구 개포동 개포우성5차,서울 강남구 개포동 개포우성5차,37.48596963330674,127.04758373304793,원본 키워드 검색,서울 강남구 개포동 개포우성5차
개포현대6차,10863,19,1,199312,152.22,153.01,238,220000,220000,120000,120000,350,350,2,3,2,7,54.5,100000,4778,46평,22억,22억,12억,12억,350만,350만,10억,"4,778만",총 19세대 | 1개동 | 46평 | 1993년 준공,강남구,개포동,2025-09-12 01:52,개포현대6차,서울 강남구 개포동,서울 강남구 개포동 개포현대6차,서울 강남구 개포동 개포현대6차,37.4797821570512,127.045938190626,원본 키워드 검색,서울 강남구 개포동 개포현대6차
우찬현대(102),102378,10,1,200606,152.26,152.26,239,0,0,0,0,60,60,0,0,1,1,0.0,0,0,46평,,,,,60만,60만,,,총 10세대 | 1개동 | 46평 | 2006년 준공,강남구,개포동,2025-09-12 01:52,우찬현대,서울 강남구 개포동,서울 강남구 개포동 우찬현대,서울 강남구 개포동 우찬현대(102),37.479366506016376,127.04889554677115,정제된 키워드 검색,서울 강남구 개포동 우찬현대
도곡현대힐스테이트,15133,57,4,199607,160.05,190.97,220,280000,350000,140000,140000,0,0,6,4,0,10,50.0,140000,5783,48~58평,28억,35억,14억,14억,,,14억,"5,783만",총 57세대 | 4개동 | 48~58평 | 1996년 준공,강남구,개포동,2025-09-12 01:52,도곡현대힐스테이트,서울 강남구 개포동,서울 강남구 개포동 도곡현대힐스테이트,서울 강남구 개포동 도곡현대힐스테이트,37.48772183180859,127.04597018911261,원본 키워드 검색,서울 강남구 개포동 도곡현대힐스테이트
우성캐릭터빌(주상복합),975,47,1,199807,207.29,219.68,853,250000,330000,0,0,0,0,19,0,0,19,0.0,0,3987,63~66평,25억,33억,,,,,,"3,987만",총 47세대 | 1개동 | 63~66평 | 1998년 준공,강남구,개포동,2025-09-12 01:52,우성캐릭터빌,서울 강남구 개포동,서울 강남구 개포동 우성캐릭터빌,서울 강남구 개포동 우성캐릭터빌(주상복합),37.48708363199108,127.0510556928198,원본 키워드 검색,서울 강남구 개포동 우성캐릭터빌(주상복합)
타워팰리스2차(주상복합),3039,813,2,200302,92.87,325.2,923,300000,1100000,109000,550000,500,1400,85,24,21,130,36.3,191000,10679,28~98평,30억,110억,"10억 9,000만",55억,500만,"1,400만","19억 1,000만",1억 679만,총 813세대 | 2개동 | 28~98평 | 2003년 준공,강남구,개포동,2025-09-12 01:52,타워팰리스2차,서울 강남구 개포동,서울 강남구 개포동 타워팰리스2차,서울 강남구 개포동 타워팰리스2차(주상복합),37.489453827906694,127.05388527939017,원본 키워드 검색,서울 강남구 개포동 타워팰리스2차(주상복합)
우성6차,770,270,8,198711,73.72,86.52,106,249000,328000,0,0,0,0,11,0,0,11,0.0,0,11166,22~26평,"24억 9,000만","32억 8,000만",,,,,,"1억 1,166만",총 270세대 | 8개동 | 22~26평 | 1987년 준공,강남구,개포동,2025-09-12 01:52,우성6차,서울 강남구 개포동,서울 강남구 개포동 우성6차,서울 강남구 개포동 우성6차,37.47628149967651,127.05683896201772,원본 키워드 검색,서울 강남구 개포동 우성6차
경남,28,678,9,198403,104.98,198.33,0,329000,450000,84000,135000,100,290,95,127,53,275,25.5,245000,10360,32~60평,"32억 9,000만",45억,"8억 4,000만","13억 5,000만",100만,290만,"24억 5,000만",1억 360만,총 678세대 | 9개동 | 32~60평 | 1984년 준공,강남구,개포동,2025-09-12 01:52,경남,서울 강남구 개포동,서울 강남구 개포동 경남,서울 강남구 개포동 경남,37.4845143707298,127.0541723119617,원본 키워드 검색,서울 강남구 개포동 경남
우성캐릭터199(주상복합),373,199,2,199811,162.08,201.13,620,320000,350000,160000,210000,200,400,6,14,12,32,50.0,160000,6527,49~61평,32억,35억,16억,21억,200만,400만,16억,"6,527만",총 199세대 | 2개동 | 49~61평 | 1998년 준공,강남구,개포동,2025-09-12 01:52,우성캐릭터199,서울 강남구 개포동,서울 강남구 개포동 우성캐릭터199,서울 강남구 개포동 우성캐릭터199(주상복합),37.4868868596781,127.05186513895704,원본 키워드 검색,서울 강남구 개포동 우성캐릭터199(주상복합)
현대1차,1317,416,6,198404,102.73,190.81,179,310000,450000,85000,140000,60,380,85,30,32,147,27.4,225000,9976,31~58평,31억,45억,"8억 5,000만",14억,60만,380만,"22억 5,000만","9,976만",총 416세대 | 6개동 | 31~58평 | 1984년 준공,강남구,개포동,2025-09-12 01:52,현대1차,서울 강남구 개포동,서울 강남구 개포동 현대1차,서울 강남구 개포동 현대1차,37.48266898948437,127.05442424180734,원본 키워드 검색,서울 강남구 개포동 현대1차
예가풍경채(도시형),152528,14,1,201902,32.35,63.79,198,0,0,0,0,0,0,0,0,0,0,0.0,0,0,10~19평,,,,,,,,,총 14세대 | 1개동 | 10~19평 | 2019년 준공,강남구,개포동,2025-09-12 01:52,예가풍경채,서울 강남구 개포동,서울 강남구 개포동 예가풍경채,서울 강남구 개포동 예가풍경채(도시형),37.4819251305593,127.057440206035,기본 주소,서울 강남구 개포동
렉스힐(주상복합),104598,8,1,201111,55.19,55.19,358,105000,105000,0,0,0,0,2,0,0,2,0.0,0,6289,17평,"10억 5,000만","10억 5,000만",,,,,,"6,289만",총 8세대 | 1개동 | 17평 | 2011년 준공,강남구,개포동,2025-09-12 01:52,렉스,서울 강남구 개포동,서울 강남구 개포동 렉스,서울 강남구 개포동 렉스힐(주상복합),37.48303256042371,127.06258433637656,정제된 키워드 검색,서울 강남구 개포동 렉스
로덴하우스웨스트빌리지,101883,19,1,200910,298.43,337.65,248,0,0,0,0,0,0,0,0,0,0,0.0,0,0,90~102평,,,,,,,,,총 19세대 | 1개동 | 90~102평 | 2009년 준공,강남구,개포동,2025-09-12 01:52,로덴하우스웨스트,서울 강남구 개포동,서울 강남구 개포동 로덴하우스웨스트,서울 강남구 개포동 로덴하우스웨스트빌리지,37.48549701802601,127.0465443407052,원본 키워드 검색,서울 강남구 개포동 로덴하우스웨스트빌리지
개포상지리츠빌,107513,18,1,200303,178.74,178.74,202,380000,395000,0,0,0,0,7,0,0,7,0.0,0,7028,54평,38억,"39억 5,000만",,,,,,"7,028만",총 18세대 | 1개동 | 54평 | 2003년 준공,강남구,개포동,2025-09-12 01:52,개포상지리츠빌,서울 강남구 개포동,서울 강남구 개포동 개포상지리츠빌,서울 강남구 개포동 개포상지리츠빌,37.48730094054184,127.06026656049835,원본 키워드 검색,서울 강남구 개포동 개포상지리츠빌
개포자이르네,145017,28,1,202210,71.89,158.9,199,117000,340000,0,0,0,0,36,0,0,36,0.0,0,5380,22~48평,"11억 7,000만",34억,,,,,,"5,380만",총 28세대 | 1개동 | 22~48평 | 2022년 준공,강남구,개포동,2025-09-12 01:52,개포자이르네,서울 강남구 개포동,서울 강남구 개포동 개포자이르네,서울 강남구 개포동 개포자이르네,37.4785239141338,127.055358480031,원본 키워드 검색,서울 강남구 개포동 개포자이르네
매봉,334,132,1,199901,98.88,100.61,386,179000,200000,95000,95000,0,0,28,1,0,29,53.1,84000,5984,30평,"17억 9,000만",20억,"9억 5,000만","9억 5,000만",,,"8억 4,000만","5,984만",총 132세대 | 1개동 | 30평 | 1999년 준공,강남구,개포동,2025-09-12 01:52,매봉,서울 강남구 개포동,서울 강남구 개포동 매봉,서울 강남구 개포동 매봉,37.4869394661317,127.046711448388,원본 키워드 검색,서울 강남구 개포동 매봉
타워팰리스3차(주상복합),8819,480,1,200404,160.73,314.94,791,389000,780000,220000,510000,200,1000,94,23,40,157,56.6,169000,8001,49~95평,"38억 9,000만",78억,22억,51억,200만,"1,000만","16억 9,000만","8,001만",총 480세대 | 1개동 | 49~95평 | 2004년 준공,강남구,개포동,2025-09-12 01:52,타워팰리스3차,서울 강남구 개포동,서울 강남구 개포동 타워팰리스3차,서울 강남구 개포동 타워팰리스3차(주상복합),37.48733513266797,127.05283333247247,원본 키워드 검색,서울 강남구 개포동 타워팰리스3차(주상복합)
선경3차,9005,54,1,199010,85.48,85.48,204,230000,260000,0,0,0,0,7,0,0,7,0.0,0,8895,26평,23억,26억,,,,,,"8,895만",총 54세대 | 1개동 | 26평 | 1990년 준공,강남구,개포동,2025-09-12 01:52,선경3차,서울 강남구 개포동,서울 강남구 개포동 선경3차,서울 강남구 개포동 선경3차,37.49417708052325,127.06094604698986,원본 키워드 검색,서울 강남구 개포동 선경3차
